wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4538;252;890;94;t00
dolnoœl¹skie;boles³awiecki;10491;403;4038;125;t0201
dolnoœl¹skie;dzier¿oniowski;9358;409;3428;147;t0202
dolnoœl¹skie;g³ogowski;8737;312;2721;64;t0203
dolnoœl¹skie;górowski;2600;90;921;28;t0204
dolnoœl¹skie;jaworski;5300;259;1826;21;t0205
dolnoœl¹skie;jeleniogórski;7234;362;2599;195;t0206
dolnoœl¹skie;kamiennogórski;4151;153;1564;33;t0207
dolnoœl¹skie;k³odzki;23518;679;9052;253;t0208
dolnoœl¹skie;legnicki;2946;96;1019;23;t0209
dolnoœl¹skie;lubañski;4153;79;1328;0;t0210
dolnoœl¹skie;lubiñski;17956;461;5985;153;t0211
dolnoœl¹skie;lwówecki;4515;206;1618;104;t0212
dolnoœl¹skie;milicki;4806;128;1729;40;t0213
dolnoœl¹skie;oleœnicki;7774;170;2742;40;t0214
dolnoœl¹skie;o³awski;8814;458;2781;101;t0215
dolnoœl¹skie;polkowicki;2078;99;745;37;t0216
dolnoœl¹skie;strzeliñski;5087;156;1899;78;t0217
dolnoœl¹skie;œredzki;3094;156;989;28;t0218
dolnoœl¹skie;œwidnicki;14591;482;5193;160;t0219
dolnoœl¹skie;trzebnicki;9803;242;3418;55;t0220
dolnoœl¹skie;wa³brzyski;5527;136;2217;62;t0221
dolnoœl¹skie;wo³owski;5571;167;1907;43;t0222
dolnoœl¹skie;wroc³awski;9824;367;3296;104;t0223
dolnoœl¹skie;z¹bkowicki;8091;279;3014;107;t0224
dolnoœl¹skie;zgorzelecki;10249;290;4019;138;t0225
dolnoœl¹skie;z³otoryjski;3993;155;1315;56;t0226
dolnoœl¹skie;Jelenia Góra;11943;338;4289;79;t0261
dolnoœl¹skie;Legnica;11307;258;3974;146;t0262
dolnoœl¹skie;Wroc³aw;143344;3243;50336;1171;t0264
dolnoœl¹skie;Wa³brzych;38175;880;12263;237;t0265
kujawsko-pomorskie;aleksandrowski;24361;644;8497;216;t0401
kujawsko-pomorskie;brodnicki;7886;344;2746;164;t0402
kujawsko-pomorskie;bydgoski;6215;433;2254;169;t0403
kujawsko-pomorskie;che³miñski;4796;162;1716;23;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3711;126;1243;32;t0405
kujawsko-pomorskie;grudzi¹dzki;2062;98;771;42;t0406
kujawsko-pomorskie;inowroc³awski;15692;436;5495;173;t0407
kujawsko-pomorskie;lipnowski;6313;231;2223;108;t0408
kujawsko-pomorskie;mogileñski;3385;67;1123;0;t0409
kujawsko-pomorskie;nakielski;4881;247;1483;80;t0410
kujawsko-pomorskie;radziejowski;4355;204;1536;44;t0411
kujawsko-pomorskie;rypiñski;3966;152;1200;83;t0412
kujawsko-pomorskie;sêpoleñski;6306;201;2342;97;t0413
kujawsko-pomorskie;œwiecki;8707;326;3309;106;t0414
kujawsko-pomorskie;toruñski;6367;229;2176;60;t0415
kujawsko-pomorskie;tucholski;4073;120;1366;33;t0416
kujawsko-pomorskie;w¹brzeski;3794;109;1343;49;t0417
kujawsko-pomorskie;w³oc³awski;6099;304;2405;158;t0418
kujawsko-pomorskie;¿niñski;5839;162;2070;77;t0419
kujawsko-pomorskie;Bydgoszcz;59757;1272;22003;279;t0461
kujawsko-pomorskie;Grudzi¹dz;11162;238;3824;129;t0462
kujawsko-pomorskie;Toruñ;25797;410;9120;122;t0463
kujawsko-pomorskie;W³oc³awek;10763;283;3853;87;t0464
lubelskie;bialski;9027;342;3125;56;t0601
lubelskie;bi³gorajski;8644;278;3045;65;t0602
lubelskie;che³mski;4533;283;1555;95;t0603
lubelskie;hrubieszowski;6904;254;2293;82;t0604
