wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;1;0;1;0;t00
dolnoœl¹skie;boles³awiecki;1675;0;1;0;t0201
dolnoœl¹skie;dzier¿oniowski;1127;0;0;0;t0202
dolnoœl¹skie;g³ogowski;1025;197;0;0;t0203
dolnoœl¹skie;górowski;88;0;0;0;t0204
dolnoœl¹skie;jaworski;552;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;526;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;797;125;0;0;t0207
dolnoœl¹skie;k³odzki;3587;0;75;0;t0208
dolnoœl¹skie;legnicki;0;0;0;0;t0209
dolnoœl¹skie;lubañski;628;0;0;0;t0210
dolnoœl¹skie;lubiñski;2418;0;0;0;t0211
dolnoœl¹skie;lwówecki;708;0;77;0;t0212
dolnoœl¹skie;milicki;505;37;0;0;t0213
dolnoœl¹skie;oleœnicki;1129;0;78;0;t0214
dolnoœl¹skie;o³awski;1052;0;0;0;t0215
dolnoœl¹skie;polkowicki;0;0;0;0;t0216
dolnoœl¹skie;strzeliñski;506;0;0;0;t0217
dolnoœl¹skie;œredzki;89;0;0;0;t0218
dolnoœl¹skie;œwidnicki;2224;0;253;0;t0219
dolnoœl¹skie;trzebnicki;1364;96;0;0;t0220
dolnoœl¹skie;wa³brzyski;776;0;0;0;t0221
dolnoœl¹skie;wo³owski;535;0;0;0;t0222
dolnoœl¹skie;wroc³awski;425;52;0;0;t0223
dolnoœl¹skie;z¹bkowicki;1411;0;144;0;t0224
dolnoœl¹skie;zgorzelecki;2486;0;456;0;t0225
dolnoœl¹skie;z³otoryjski;422;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;2150;30;71;0;t0261
dolnoœl¹skie;Legnica;2681;0;288;0;t0262
dolnoœl¹skie;Wroc³aw;28263;385;2421;4;t0264
dolnoœl¹skie;Wa³brzych;3445;162;593;86;t0265
kujawsko-pomorskie;aleksandrowski;1283;61;147;17;t0401
kujawsko-pomorskie;brodnicki;861;0;73;0;t0402
kujawsko-pomorskie;bydgoski;263;0;0;0;t0403
kujawsko-pomorskie;che³miñski;600;0;72;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;413;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;85;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;2178;0;224;0;t0407
kujawsko-pomorskie;lipnowski;858;0;158;0;t0408
kujawsko-pomorskie;mogileñski;483;0;56;0;t0409
kujawsko-pomorskie;nakielski;446;0;0;0;t0410
kujawsko-pomorskie;radziejowski;831;0;173;0;t0411
kujawsko-pomorskie;rypiñski;590;0;219;0;t0412
kujawsko-pomorskie;sêpoleñski;856;0;72;0;t0413
kujawsko-pomorskie;œwiecki;819;0;1;0;t0414
kujawsko-pomorskie;toruñski;468;18;0;0;t0415
kujawsko-pomorskie;tucholski;350;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;247;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;433;0;0;0;t0418
kujawsko-pomorskie;¿niñski;880;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;12671;268;749;0;t0461
kujawsko-pomorskie;Grudzi¹dz;2413;174;217;0;t0462
kujawsko-pomorskie;Toruñ;5480;120;560;0;t0463
kujawsko-pomorskie;W³oc³awek;2108;400;73;1;t0464
lubelskie;bialski;484;42;0;0;t0601
lubelskie;bi³gorajski;790;0;72;0;t0602
lubelskie;che³mski;79;0;0;0;t0603
lubelskie;hrubieszowski;596;0;77;0;t0604
lubelskie;janowski;917;90;0;0;t0605
lubelskie;krasnostawski;1011;0;0;0;t0606
lubelskie;kraœnicki;770;19;0;0;t0607
lubelskie;lubartowski;1126;0;0;0;t0608
lubelskie;lubelski;881;0;0;0;t0609
lubelskie;³êczyñski;708;0;0;0;t0610
lubelskie;³ukowski;1241;0;0;0;t0611
lubelskie;opolski;586;0;73;0;t0612
lubelskie;parczewski;708;0;0;0;t0613
lubelskie;pu³awski;2693;0;220;0;t0614
lubelskie;radzyñski;626;0;0;0;t0615
lubelskie;rycki;507;0;72;0;t0616
lubelskie;œwidnicki;525;1;0;0;t0617
lubelskie;tomaszowski;1171;66;72;66;t0618
lubelskie;w³odawski;766;77;74;2;t0619
lubelskie;zamojski;441;0;0;0;t0620
lubelskie;Bia³a Podlaska;2786;242;292;1;t0661
lubelskie;Che³m;1703;48;214;0;t0662
lubelskie;Lublin;15638;358;681;1;t0663
lubelskie;Zamoœæ;1968;0;217;0;t0664
lubuskie;gorzowski;277;0;0;0;t0801
lubuskie;kroœnieñski;680;0;74;0;t0802
lubuskie;miêdzyrzecki;1445;0;69;0;t0803
lubuskie;nowosolski;1443;9;84;0;t0804
lubuskie;s³ubicki;424;0;74;0;t0805
lubuskie;strzelecko-drezdenecki;609;0;73;0;t0806
lubuskie;sulêciñski;518;0;71;0;t0807
lubuskie;œwiebodziñski;1071;30;135;0;t0808
lubuskie;zielonogórski;1000;0;79;0;t0809
lubuskie;¿agañski;517;60;83;60;t0810
lubuskie;¿arski;1792;6;241;6;t0811
lubuskie;wschowski;473;0;84;0;t0812
lubuskie;Gorzów Wielkopolski;3103;207;229;0;t0861
lubuskie;Zielona Góra;2200;96;233;0;t0862
³ódzkie;be³chatowski;1620;0;268;0;t1001
³ódzkie;kutnowski;1208;0;60;0;t1002
³ódzkie;³aski;355;30;0;0;t1003
³ódzkie;³êczycki;1134;0;71;0;t1004
³ódzkie;³owicki;1966;0;162;0;t1005
³ódzkie;³ódzki wschodni;277;0;0;0;t1006
³ódzkie;opoczyñski;820;6;70;0;t1007
³ódzkie;pabianicki;1536;0;1;0;t1008
³ódzkie;pajêczañski;426;66;0;0;t1009
³ódzkie;piotrkowski;234;0;0;0;t1010
³ódzkie;poddêbicki;578;0;0;0;t1011
³ódzkie;radomszczañski;2289;0;383;0;t1012
³ódzkie;rawski;322;42;0;0;t1013
³ódzkie;sieradzki;1656;49;148;0;t1014
³ódzkie;skierniewicki;0;0;0;0;t1015
³ódzkie;tomaszowski;1618;0;76;0;t1016
³ódzkie;wieluñski;578;0;0;0;t1017
³ódzkie;wieruszowski;286;47;73;47;t1018
³ódzkie;zduñskowolski;876;0;75;0;t1019
³ódzkie;zgierski;3723;27;878;24;t1020
³ódzkie;brzeziñski;442;0;0;0;t1021
³ódzkie;£ódŸ;26764;515;1704;3;t1061
³ódzkie;Piotrków Trybunalski;1700;101;71;0;t1062
³ódzkie;Skierniewice;1374;18;140;0;t1063
ma³opolskie;bocheñski;839;0;90;0;t1201
ma³opolskie;brzeski;1067;0;82;0;t1202
ma³opolskie;chrzanowski;1302;0;141;0;t1203
ma³opolskie;d¹browski;914;0;71;0;t1204
ma³opolskie;gorlicki;1293;159;51;0;t1205
ma³opolskie;krakowski;848;36;0;0;t1206
ma³opolskie;limanowski;1216;0;84;0;t1207
ma³opolskie;miechowski;1213;0;150;0;t1208
ma³opolskie;myœlenicki;909;0;0;0;t1209
ma³opolskie;nowos¹decki;712;0;0;0;t1210
ma³opolskie;nowotarski;1883;0;80;0;t1211
ma³opolskie;olkuski;874;0;0;0;t1212
ma³opolskie;oœwiêcimski;1503;0;70;0;t1213
ma³opolskie;proszowicki;696;0;74;0;t1214
ma³opolskie;suski;1219;0;141;0;t1215
ma³opolskie;tarnowski;761;0;0;0;t1216
ma³opolskie;tatrzañski;943;0;72;0;t1217
ma³opolskie;wadowicki;961;60;66;0;t1218
ma³opolskie;wielicki;293;0;0;0;t1219
ma³opolskie;Kraków;29694;473;1731;0;t1261
ma³opolskie;Nowy S¹cz;1395;0;76;0;t1262
ma³opolskie;Tarnów;3809;0;294;0;t1263
mazowieckie;bia³obrzeski;245;0;0;0;t1401
mazowieckie;ciechanowski;2059;170;136;1;t1402
mazowieckie;garwoliñski;651;37;0;0;t1403
mazowieckie;gostyniñski;474;0;0;0;t1404
mazowieckie;grodziski;2488;0;77;0;t1405
mazowieckie;grójecki;1593;0;142;0;t1406
mazowieckie;kozienicki;428;30;81;30;t1407
mazowieckie;legionowski;351;0;0;0;t1408
mazowieckie;lipski;436;54;0;0;t1409
mazowieckie;³osicki;178;0;0;0;t1410
mazowieckie;makowski;493;0;0;0;t1411
mazowieckie;miñski;1242;90;0;0;t1412
mazowieckie;m³awski;1084;48;168;40;t1413
mazowieckie;nowodworski;3127;0;0;0;t1414
mazowieckie;ostro³êcki;124;0;0;0;t1415
mazowieckie;ostrowski;936;72;0;0;t1416
mazowieckie;otwocki;1479;0;0;0;t1417
mazowieckie;piaseczyñski;3197;67;0;0;t1418
mazowieckie;p³ocki;968;0;1;0;t1419
mazowieckie;p³oñski;988;11;48;0;t1420
mazowieckie;pruszkowski;3056;43;0;0;t1421
mazowieckie;przasnyski;846;0;75;0;t1422
mazowieckie;przysuski;440;0;78;0;t1423
mazowieckie;pu³tuski;778;0;0;0;t1424
mazowieckie;radomski;964;0;122;0;t1425
